Batch,Gen,NPC,Fit_Best,Fit_Mean,Complexity_Mean
15,97,HumanSword,29.008078634738922,23.830247385799886,9.16
15,97,Mushroom,29.287508249282837,11.885247437655925,6.37
15,98,HumanSword,28.94436800479889,22.513126371502878,9.34
15,98,Mushroom,28.892181396484375,11.283126417994499,6.31
15,99,HumanSword,28.94343328475952,22.863665786087513,9.19
15,99,Mushroom,29.288476943969727,11.648665845096112,6.47
15,100,HumanSword,29.005245566368103,22.9171805870533,9.06
15,100,Mushroom,29.058130264282227,12.077180613279342,6.51
16,0,HumanSword,29.00439989566803,23.375318749547006,9.06
16,0,Mushroom,29.21907114982605,11.465318788886071,6.51
17,0,HumanSword,29.000861823558807,22.943986457288265,9.06
17,0,Mushroom,29.259153366088867,11.393986430466175,6.51
